video_id,total_wrongs,total_questions,all_wrong_qtypes,n_models,fail_rate
-wnlQz8oACI_000025_000035,30.0,6.0,6.0,5.0,1.0
2mk6JIUcVj8_000509_000519,30.0,6.0,6.0,5.0,1.0
63Bl9m0ZB-c_000313_000323,30.0,6.0,6.0,5.0,1.0
6pAyehzASCI_000063_000073,30.0,6.0,6.0,5.0,1.0
8UjQS55nda0_000003_000013,30.0,6.0,6.0,5.0,1.0
9XwPltcW544_000002_000012,30.0,6.0,6.0,5.0,1.0
CkZeAJUOF0o_000016_000026,30.0,6.0,6.0,5.0,1.0
D-pqBrpzm7U_000012_000022,30.0,6.0,6.0,5.0,1.0
N-2aQxwLqpE_000020_000030,30.0,6.0,6.0,5.0,1.0
Uh9_cAoMJb0_000007_000017,30.0,6.0,6.0,5.0,1.0
ZfyTPbnpAME_000255_000265,30.0,6.0,6.0,5.0,1.0
gLbIY8p31DQ_000092_000102,30.0,6.0,6.0,5.0,1.0
lhWW9vm2DuE_000019_000029,30.0,6.0,6.0,5.0,1.0
mUu1fT2vUVg_000003_000013,30.0,6.0,6.0,5.0,1.0
mcOI7jJfrl4_000047_000057,30.0,6.0,6.0,5.0,1.0
nVvFSdiBZME_000000_000010,30.0,6.0,6.0,5.0,1.0
shFx6GoTXis_000076_000086,30.0,6.0,6.0,5.0,1.0
xs71cLZIZkI_000015_000025,30.0,6.0,6.0,5.0,1.0
yoOKaAjoC0w_000047_000057,30.0,6.0,6.0,5.0,1.0
